CANAL,CLASSIFICACAO_CANAL,CNPJ_PROGRAMADORA,CLASSIFICACAO_PROGRAMADORA,NR_IDENTIFICACAO,OFERTA_CLIENTE,DENSIDADE_CANAL,PAIS_PROGRAMADORA,TIPO_CONTEUDO_CANAL,NOME_PROGRAMADORA,DATA_INICIO_OFERTA
NOSSO FUTEBOL HD,Canal de programação comum,41817089000160,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",5245830001,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,TRINTA CONSULTORIA EM ESPORTES LTDA,2023-05-19
NOSSO FUTEBOL SD,Canal de programação comum,41817089000160,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",5245830002,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo esportivo,TRINTA CONSULTORIA EM ESPORTES LTDA,2023-05-19
NOVA TV,Canal de programação comum,13321125000165,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",3118830001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,NOVIDADE TV LTDA ME,2016-08-31
NSPORTS,Canal de programação comum,29764291000176,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",3927930001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,NSPORTS CONTEÚDO ESPORTIVO S.A.,2024-03-07
NSPORTS HD,Canal de programação comum,29764291000176,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",3927930002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,NSPORTS CONTEÚDO ESPORTIVO S.A.,2024-03-07
O CANAL DO CARRO,Canal de programação comum,07950180000111,,2487430001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de televenda ou infomercial,SUPER CDMD COMÉRCIO DE VEÍCULOS AUTOMOTORES LTDA,2012-12-01
OFF,Canal brasileiro de espaço qualificado,27865757000102,Programadora brasileira independente,472730121,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
OFF (EM SD),Canal brasileiro de espaço qualificado,27865757000102,Programadora brasileira independente,472730015,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
OLATV,Canal de programação comum,13934762000107,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",3694530001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,CARLOS ALBERTO FREITAS MORENO DAS NEVES,2017-11-01
PARAMOUNT NETWORKS,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,620930012,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,MTV NETWORKS LATIN AMERICA INC.,2014-11-14
PARAMOUNT NETWORKS HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,620930013,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,MTV NETWORKS LATIN AMERICA INC.,2014-11-14
PLAYBOY HD,Canal de programação comum,08844841000197,Programadora brasileira de capital estrangeiro,1326330007,"CANAL À LA CARTE, PAY-PER-VIEW",ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo erótico,PB BRASIL ENTRETENIMENTO S/A,2017-04-28
PLAYBOY TV,Canal de programação comum,08844841000197,Programadora brasileira de capital estrangeiro,1326330003,"CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo erótico,PB BRASIL ENTRETENIMENTO S/A,2007-07-04
PLAYTV,Canal brasileiro de espaço qualificado,07121705000106,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",493130001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,PLAYTV TELEVISÃO LTDA,2008-10-21
PLAYTV HD,Canal brasileiro de espaço qualificado,07121705000106,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",493130002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,PLAYTV TELEVISÃO LTDA,2023-06-20
POLISHOPTV 1,Canal de programação comum,00436042004752,,319030004,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de televenda ou infomercial,POLIMPORT - COMERCIO E EXPORTACAO LTDA,2021-08-01
POLISHOPTV 2,Canal de programação comum,00436042004752,,319030001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de televenda ou infomercial,POLIMPORT - COMERCIO E EXPORTACAO LTDA,2008-05-30
PREMIERE 10,Canal de programação comum,27865757000102,Programadora brasileira independente,472730116,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 11,Canal de programação comum,27865757000102,Programadora brasileira independente,472730117,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 12,Canal de programação comum,27865757000102,Programadora brasileira independente,472730118,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 2,Canal de programação comum,27865757000102,Programadora brasileira independente,472730101,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 2 HD,Canal de programação comum,27865757000102,Programadora brasileira independente,472730102,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 3,Canal de programação comum,27865757000102,Programadora brasileira independente,472730103,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 3 HD,Canal de programação comum,27865757000102,Programadora brasileira independente,472730104,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 4,Canal de programação comum,27865757000102,Programadora brasileira independente,472730105,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 4 HD,Canal de programação comum,27865757000102,Programadora brasileira independente,472730106,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 5,Canal de programação comum,27865757000102,Programadora brasileira independente,472730107,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 5 HD,Canal de programação comum,27865757000102,Programadora brasileira independente,472730108,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 6,Canal de programação comum,27865757000102,Programadora brasileira independente,472730109,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 6 HD,Canal de programação comum,27865757000102,Programadora brasileira independente,472730110,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 7,Canal de programação comum,27865757000102,Programadora brasileira independente,472730111,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 7 HD,Canal de programação comum,27865757000102,Programadora brasileira independente,472730112,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 8,Canal de programação comum,27865757000102,Programadora brasileira independente,472730113,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 8 HD,Canal de programação comum,27865757000102,Programadora brasileira independente,472730114,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 9,Canal de programação comum,27865757000102,Programadora brasileira independente,472730115,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE CLUBES,Canal de programação comum,27865757000102,Programadora brasileira independente,472730011,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE CLUBES HD,Canal de programação comum,27865757000102,Programadora brasileira independente,472730013,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE, PAY-PER-VIEW",ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PRIME BOX BRAZIL,"Canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011",07254174000120,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",474430001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,2011-09-05
PRIME BOX BRAZIL HD,"Canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011",07254174000120,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",474430002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,2011-09-05
RAIO TV,Canal de programação comum,25465239000168,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4746930001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,RAIO SISTEMA DE RADIODIFUSAO EIRELI,2020-12-20
RDC TV - REDE DIGITAL DE COMUNICAÇÃO,Canal de programação comum,30455192000191,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4257230001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,RDCTV REDE DIGITAL DE COMUNICAÇÃO LTDA,2018-07-02
REAL TV HD,Canal de espaço qualificado,54020140000150,Programadora brasileira independente,5778430001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,REALTV LTDA,2024-06-01
REDE SUPER DE TELEVISÃO,Canal de programação comum,03602062000161,,3028030001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,CANAL 23 LTDA,2000-01-17
REDE VERBO TV,Canal de programação comum,42920854000136,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4941430001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo religioso,REDE VERBO TV LTDA,2021-11-15
REGIONAL TV,Canal de programação comum,30778571000112,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4040030001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,REGIONAL TV LTDA,2019-04-18
RSTV,Canal de programação comum,08057453000166,Programadora brasileira independente,1452630001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,VALE EUROPEU TV LTDA,2006-05-05
SABOR & ARTE,Canal de espaço qualificado,26674863000138,Programadora brasileira independente,4245530002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,ASTARTE PRODUTORA LTDA.,2021-06-15
SERTÃO TV,Canal de programação comum,00352638000191,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",4350930001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,SÉRGIO EDUARDO HOLANDA MACHADO ME,2020-01-31
SESCTV,Canal de programação comum,03667884000120,,229530001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,SERVICO SOCIAL DO COMERCIO - SESC - ADMINISTRACAO REGIONAL NO ESTADO DE SAO PAULO,2006-05-02
SEXPRIVÊ,Canal de programação comum,04334366000158,Programadora brasileira,329330009,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo erótico,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2009-03-01
SEXTREME,Canal de programação comum,08844841000197,Programadora brasileira de capital estrangeiro,1326330006,"CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo erótico,PB BRASIL ENTRETENIMENTO S/A,2011-08-27
SEXY HOT,Canal de programação comum,08844841000197,Programadora brasileira de capital estrangeiro,1326330002,"CANAL À LA CARTE, PAY-PER-VIEW",PADRÃO,BRASIL,Canal de conteúdo erótico,PB BRASIL ENTRETENIMENTO S/A,2007-07-04
SONY ENTERTAINMENT TELEVISION HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2233530002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"SET BRAZIL, LLC",1995-09-01
SONY ENTERTEINMENT TELEVISION,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2233530001,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"SET BRAZIL, LLC",1995-09-01
SONY MOVIES HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2233530007,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"SET BRAZIL, LLC",2022-07-27
SONY MOVIES SD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2233530006,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"SET BRAZIL, LLC",2022-07-27
SPACE,Canal de espaço qualificado,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330004,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2008-07-01
SPACE HD,Canal de espaço qualificado,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330013,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2009-04-01
SPORTV,Canal de programação comum,27865757000102,Programadora brasileira independente,472730007,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 2,Canal de programação comum,27865757000102,Programadora brasileira independente,472730008,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 2 HD,Canal de programação comum,27865757000102,Programadora brasileira independente,472730020,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 3,Canal de programação comum,27865757000102,Programadora brasileira independente,472730009,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 3 HD,Canal de programação comum,27865757000102,Programadora brasileira independente,472730023,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 4,Canal de programação comum,27865757000102,Programadora brasileira independente,472730024,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 4 HD,Canal de programação comum,27865757000102,Programadora brasileira independente,472730025,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 4K,Canal de programação comum,27865757000102,Programadora brasileira independente,472730094,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 5,Canal de programação comum,27865757000102,Programadora brasileira independente,472730026,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 5 HD,Canal de programação comum,27865757000102,Programadora brasileira independente,472730027,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV HD,Canal de programação comum,27865757000102,Programadora brasileira independente,472730019,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
STAR CHANNEL,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,627630003,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,TFCF LATIN AMERICAN CHANNEL LLC,1993-01-01
STAR CHANNEL HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,627630015,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,TFCF LATIN AMERICAN CHANNEL LLC,2014-06-02
STUDIO UNIVERSAL,Canal de espaço qualificado,01253766000140,Programadora brasileira de capital estrangeiro,4430002,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A,2012-05-11
STUDIO UNIVERSAL HD,Canal de espaço qualificado,01253766000140,Programadora brasileira de capital estrangeiro,4430005,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A,2017-04-15
SUPER TV HD,Canal de programação comum,28842875000150,Programadora brasileira,3796430001,"CANAL OFERTADO EM PACOTE, CANAL À LA CARTE",ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,SUPER TV HD LTDA,2017-11-13
TBC - TRIP BRASIL CHANNEL,Canal brasileiro de espaço qualificado,52469919000122,"Programadora brasileira independente nos termos do art.17, §5º da Lei 12.485/2011",5762230001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,TOURTV BRASIL LTDA,2024-02-05
TCM,Canal de espaço qualificado,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330007,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2009-01-01
TELECINE ACTION,Canal de espaço qualificado,00252848000108,Programadora brasileira de capital estrangeiro,3930002,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2000-10-01
TELECINE ACTION HD,Canal de espaço qualificado,00252848000108,Programadora brasileira de capital estrangeiro,3930009,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2010-11-01
TELECINE CULT,Canal de espaço qualificado,00252848000108,Programadora brasileira de capital estrangeiro,3930006,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2005-11-01
TELECINE CULT HD,Canal de espaço qualificado,00252848000108,Programadora brasileira de capital estrangeiro,3930014,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2012-12-01
TELECINE FUN,Canal de espaço qualificado,00252848000108,Programadora brasileira de capital estrangeiro,3930004,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2010-10-01
TELECINE FUN HD,Canal de espaço qualificado,00252848000108,Programadora brasileira de capital estrangeiro,3930010,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2011-11-01
TELECINE PIPOCA,Canal de espaço qualificado,00252848000108,Programadora brasileira de capital estrangeiro,3930005,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2004-10-01
TELECINE PIPOCA HD,Canal de espaço qualificado,00252848000108,Programadora brasileira de capital estrangeiro,3930008,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2010-01-01
TELECINE PREMIUM,Canal de espaço qualificado,00252848000108,Programadora brasileira de capital estrangeiro,3930001,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2000-10-01
TELECINE PREMIUM HD,Canal de espaço qualificado,00252848000108,Programadora brasileira de capital estrangeiro,3930007,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2009-05-01
TELECINE TOUCH,Canal de espaço qualificado,00252848000108,Programadora brasileira de capital estrangeiro,3930003,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2010-10-01
TELECINE TOUCH HD,Canal de espaço qualificado,00252848000108,Programadora brasileira de capital estrangeiro,3930011,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2011-11-01
TERRA VIVA,Canal de programação comum,04334366000158,Programadora brasileira,329330010,CANAL OFERTADO EM PACOTE,PADRÃO,BRASIL,Canal de televenda ou infomercial,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2005-06-27
THC - THE HISTORY CHANNEL,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2239930001,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC",2001-10-01
THC - THE HISTORY CHANNEL HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2239930002,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"HISTORY CHANNEL BRAZIL DISTRIBUTION, LLC",2010-12-01
THINK TV,Canal de programação comum,34337977000110,Programadora brasileira,4637130001,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,BRASIL,Canal de televenda ou infomercial,RCBG LATSCH CANAL DE TELEVISAO LTDA,2019-10-01
TLC,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930010,CANAL OFERTADO EM PACOTE,PADRÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2011-11-01
TLC HD,Canal de espaço qualificado,,PROGRAMADORA ESTRANGEIRA,2603930017,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESPANHA,Canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2015-03-16
TNT,Canal de espaço qualificado,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330003,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",1999-09-01
TNT HD,Canal de espaço qualificado,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330015,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2009-04-01
TNT NOVELAS HD,Canal de espaço qualificado,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330032,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2023-06-26
TNT NOVELAS SD,Canal de espaço qualificado,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330031,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2023-06-26
TNT SÉRIES HD,Canal de espaço qualificado,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330018,CANAL OFERTADO EM PACOTE,ALTA DEFINIÇÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2015-04-01
TNT SÉRIES SD,Canal de espaço qualificado,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330017,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2015-04-01
TOONCAST,Canal de espaço qualificado,05583971000125,PROGRAMADORA ESTRANGEIRA,4040330010,CANAL OFERTADO EM PACOTE,PADRÃO,ESTADOS UNIDOS,Canal de conteúdo infantil e adolescente,"TURNER INTERNATIONAL LATIN AMERICA, INC",2008-12-01
